"id","name","stateAfter","stateBefore","timeElapsed"
"a671b2be-3dc8-4751-94f3-16cb140940ca","left","lock","lock","503"
"27b6e3c2-1311-4f54-b139-6c9c72f79ccb","left","gesture","app","1379"
"2aeb1d14-f7fb-4b49-9cb2-a38f4b994548","bottomleft","home","home","11427"
"b85fcd6f-813b-45c9-ad34-2b3ecfad769e","left","lock","lock","4665"
"ee1774cf-43c1-411a-9345-a7e995efb1b3","left","app","app","66"
"c9588473-b7ac-4954-b266-ce1c2b08d175","bottomleft","noti","noti","74"
"713f78ea-dc68-46a8-82f8-df47a330172b","left","brightness","noti","844"
"9f602680-58f8-48ed-8bbe-6a2938e61c84","top","home","home","126"
"9c4e8415-7945-45e8-baeb-58054dafacb5","bottom","lock","home","736"
"2fbd7dd0-2f6c-4e1a-b43d-95f3ac042747","bottom","lock","home","211"
"cd710d21-e241-4931-980b-3dc84891fce0","top","home","noti","5829"
"2142f534-d4c6-47e9-bf8c-461ee5f11074","bottom","lock","gesture","687"
"8ef0e051-56fd-4efc-a860-45194a2d120f","bottomleft","gesture","gesture","817"
"37788b43-0918-4b00-9a35-a7eadb70179a","topleft","noti","app","3862"
"a17c961d-d410-433a-96e6-87f9a197924d","top","home","app","481"
"b28e1fae-719d-4d22-a238-9ab1b3e8fa79","left","brightness","brightness","729"
"4dd06945-004a-41f3-8193-db36fe8f5f9a","topleft","noti","app","3314"
"7bf5992f-06a5-458f-9756-ffe7dbb4ee85","bottom","lock","noti","12155"
"332e915d-fe10-4f63-94ed-dc7723cf1298","left","brightness","noti","257"
"6d61a81e-b57e-4df5-9825-ac8197b03e95","top","home","brightness","322"
"5ae3ff13-6407-4e36-bbcc-0efb251b8e40","left","brightness","app","1747"
"28409c16-62f7-4e47-a209-23155d917908","top","home","app","3995"
"7c27d003-eff5-44e0-928b-41db0c77834f","left","app","app","111"
"d07fb431-b84e-440e-94c1-f74975a8e327","bottomleft","app","app","863"
"ab377f9d-3b4e-4535-a698-3e8108862736","top","home","app","3599"
"1c9b96ee-8c00-455a-8d32-e709b2f52200","top","home","app","2194"
"e4c9a72d-c5fa-403f-847e-76b839bbc8dd","topleft","noti","noti","46"
"17c4f037-c1d0-4ffb-b07d-75106b9ec70e","left","noti","noti","885"
"4e324647-9995-435e-b46c-656003fe9787","bottom","lock","app","506"
"1da54f2e-c2f2-4132-b581-89e747a04dfb","top","lock","lock","645"
"c810aeaf-8568-44f2-afa3-8ec1bed721b5","left","noti","noti","427"
"669b6dda-dfca-48fb-93c0-73b1a0332084","topleft","noti","app","2761"
"0173bcd2-4441-40ec-b3e2-8e9ba329e23c","topleft","noti","app","893"
"dd8159a7-e6c4-43a5-99b8-cdfe96a1a8e4","left","brightness","home","751"
"53bcc0f8-a7da-4771-a4f0-861d4c4c6e8a","left","home","home","945"
"fe3b9660-f70c-4cda-a46b-4ace39175396","top","home","home","6620"
"be10a8dc-a239-42c1-8e00-ae161388a688","left","app","app","26675"
"ba73dcda-8a31-4cf1-89fa-0a28485d2b12","bottomleft","gesture","gesture","513"
"af46989f-cbe2-48a9-9bba-309f0d7588dd","left","app","app","6680"
"caec2460-5cf9-4e86-9ee5-85778172e0b4","bottom","lock","lock","595"
"dc8d380f-d780-4cc3-ba64-52cec6e847dd","top","home","app","847"
"6bc72a49-bdea-4cf1-9f2c-a3c8e5694b89","topleft","lock","lock","6773"
"0acabbc0-b716-4810-b897-df17965441a2","left","app","app","5172"
"3e5f47f1-9fef-4918-acb9-548d9e01b921","top","home","home","1060"
"64ac2810-bee2-435f-bdbe-5da356895d5a","top","home","home","73"
"40a2d78c-c03f-4445-b49e-f4726e40ca76","left","brightness","app","876"
"cb6f4e1a-e7cf-4cc2-9b94-484da700d1e9","bottomleft","noti","noti","60"
"11ed636d-15db-455f-af70-0a4eba076ab1","left","app","app","3435"
"6ef902a6-7ccd-46c1-ae88-7313f6ac2423","bottomleft","app","app","794"
"1af80168-6ca9-487b-9db2-6d243d950c95","top","home","noti","3382"
